order,name,description,vector,type,units,region,2021,2022,2023,2024
236,"PIM(g01,USA,ROW)",landed price of imports,end,z1l,idx,USA,100,100,100,100
237,"PIM(g01,ROW,USA)",landed price of imports,end,z1l,idx,ROW,100,100,100,100
238,"PIM(g01,ROW,ROW)",landed price of imports,end,z1l,idx,ROW,100,100,100,100
239,"PIM(g02,USA,USA)",landed price of imports,end,z1l,idx,USA,100,100,100,100
240,"PIM(g02,USA,ROW)",landed price of imports,end,z1l,idx,USA,100,100,100,100
241,"PIM(g02,ROW,USA)",landed price of imports,end,z1l,idx,ROW,100,100,100,100
242,"PIM(g02,ROW,ROW)",landed price of imports,end,z1l,idx,ROW,100,100,100,100
243,"PMQ(g01,USA)",import landed price index,end,z1l,idx,USA,100,100,100,100
244,"PMQ(g01,ROW)",import landed price index,end,z1l,idx,ROW,100,100,100,100
245,"PMQ(g02,USA)",import landed price index,end,z1l,idx,USA,100,100,100,100
246,"PMQ(g02,ROW)",import landed price index,end,z1l,idx,ROW,100,100,100,100
247,"PMR(g01,USA)",price of imports incl tariffs,end,z1l,idx,USA,100,100,100,100
248,"PMR(g01,ROW)",price of imports incl tariffs,end,z1l,idx,ROW,100,100,100,100
249,"PMR(g02,USA)",price of imports incl tariffs,end,z1l,idx,USA,100,100,100,100
250,"PMR(g02,ROW)",price of imports incl tariffs,end,z1l,idx,ROW,100,100,100,100
251,"POI(a01,USA)",sector price of materials,end,z1l,idx,USA,100,100,100,100
252,"POI(a01,ROW)",sector price of materials,end,z1l,idx,ROW,100,100,100,100
253,"POI(a02,USA)",sector price of materials,end,z1l,idx,USA,100,100,100,100
254,"POI(a02,ROW)",sector price of materials,end,z1l,idx,ROW,100,100,100,100
