order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
106,IITL(ROW),raw capital sector demand for labor,end,z1l,gdp,ROW,0.78106721,0.79371363,0.79493062,0.79028222,0.79078198,0.79996776,0.80142635,0.79520384
107,IITO(USA),raw capital sector demand for material,end,z1l,gdp,USA,15.62134416,15.87427257,15.89861232,15.80564443,15.8156395,15.99935518,16.02852704,15.90407685
108,IITO(ROW),raw capital sector demand for material,end,z1l,gdp,ROW,15.62134416,15.87427257,15.89861232,15.80564443,15.8156395,15.99935518,16.02852704,15.90407685
109,"IMP(g01,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0,0,0,0,0
110,"IMP(g01,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
111,"IMP(g01,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
112,"IMP(g01,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
113,"IMP(g02,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0,0,0,0,0
114,"IMP(g02,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
115,"IMP(g02,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
116,"IMP(g02,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
117,"IMPX(g01,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
118,"IMPX(g01,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
119,"IMPX(g01,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
120,"IMPX(g01,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
121,"IMPX(g02,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
122,"IMPX(g02,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
